post_key,post_id,platform_id,content_id,date_id,geo_id,post_date_clean,post_hour_clean,post_published_at,Impressions,Views,Engagement,Likes,Comments,Shares,Video_Views,Live_Stream_Views,Clicks,Click_Through_Rate,Has_click_data,Traffic_scope,Engagement_Rate,engagement_rate_num,Engagement_Level,Platform,Content_Type,Content_Category,Post_Type
Post_3398|FACEBOOK|2024-08-29T14:45:00,Post_3398,PLT_FB,db879f8eb4,20240829,d1f898211a,2024-08-29,2:45:00 PM,2024-08-29 14:45:00,566718,461208,72376,93280,23617,35382,0,146724,14054.0,0.0248,true,Tracked,0.156928497,0.156928497,Medium,Facebook,Organic,Event / Webinar,Live Stream
Post_3416|FACEBOOK|2024-05-06T10:31:00,Post_3416,PLT_FB,db879f8eb4,20240506,95568ec582,2024-05-06,10:31:00 AM,2024-05-06 10:31:00,319959,252367,37345,54645,11343,17502,0,1638743,5951.0,0.0186,true,Tracked,0.147981327,0.147981327,Medium,Facebook,Organic,Event / Webinar,Live Stream
Post_1827|FACEBOOK|2024-10-16T16:18:00,Post_1827,PLT_FB,db879f8eb4,20241016,32b4dfb501,2024-10-16,4:18:00 PM,2024-10-16 16:18:00,331794,300020,35771,72235,8544,10838,0,273574,7133.0,0.0215,true,Tracked,0.119230478,0.119230478,Medium,Facebook,Organic,Event / Webinar,Live Stream
Post_4213|FACEBOOK|2024-04-07T09:29:00,Post_4213,PLT_FB,db879f8eb4,20240407,32b4dfb501,2024-04-07,9:29:00 AM,2024-04-07 09:29:00,235591,211286,31069,29747,7693,7885,0,237505,3416.0,0.0145,true,Tracked,0.147049354,0.147049354,Medium,Facebook,Organic,Event / Webinar,Live Stream
Post_5|TIKTOK|2024-01-10T11:28:00,Post_5,PLT_TT,81b5e4d97d,20240110,183a30c5fe,2024-01-10,11:28:00 AM,2024-01-10 11:28:00,93049,77358,20832,13027,2165,5357,72707,0,1944.0,0.0209,true,Tracked,0.269301866,0.269301866,High,TikTok,Organic,Educational,Video
Post_4354|TIKTOK|2024-11-21T15:26:00,Post_4354,PLT_TT,b0699c5cd2,20241121,d1f898211a,2024-11-21,3:26:00 PM,2024-11-21 15:26:00,4067397,3490650,659523,726023,184567,138296,3490650,0,71992.0,0.0177,true,Tracked,0.188940162,0.188940162,Medium,TikTok,Organic,Customer Story,Video
Post_4753|TIKTOK|2024-11-02T10:20:00,Post_4753,PLT_TT,81b5e4d97d,20241102,d1f898211a,2024-11-02,10:20:00 AM,2024-11-02 10:20:00,3831960,2948577,690841,419872,129208,132551,2948577,0,92350.0,0.0241,true,Tracked,0.234296646,0.234296646,High,TikTok,Organic,Educational,Video
Post_2585|TIKTOK|2025-04-30T16:55:00,Post_2585,PLT_TT,81b5e4d97d,20250430,d1f898211a,2025-04-30,4:55:00 PM,2025-04-30 16:55:00,3316266,2915564,703467,344359,123967,134987,2915564,0,61019.0,0.0184,true,Tracked,0.241280198,0.241280198,High,TikTok,Organic,Educational,Video
Post_4529|TIKTOK|2024-01-17T10:41:00,Post_4529,PLT_TT,b0699c5cd2,20240117,d1f898211a,2024-01-17,10:41:00 AM,2024-01-17 10:41:00,2553521,2249465,366172,423080,79317,101670,2249465,0,63582.0,0.0249,true,Tracked,0.162782212,0.162782212,Medium,TikTok,Organic,Customer Story,Video
Post_86|TIKTOK|2024-12-31T08:54:00,Post_86,PLT_TT,b0699c5cd2,20241231,d1f898211a,2024-12-31,8:54:00 AM,2024-12-31 08:54:00,2462596,2009444,308010,390655,76723,130186,2009444,0,50729.0,0.0206,true,Tracked,0.153281615,0.153281615,Medium,TikTok,Organic,Customer Story,Video
