Post_ID,Platform,Content_Type,Content_Category,Post_Type,Region,Longitude,Latitude,Engagement,Views,Likes,Shares,Comments,Engagement_Rate,Impressions,Video_Views,Live_Stream_Views,Clicks,Click_Through_Rate,Has_click_data,Traffic_scope,Main_Hashtag,Post_Published_At,Post_Date,Post_Hour,Engagement_Level,Post_Hour_Clean,Post_Date_Clean,Post_key,engagement_rate_num
Post_1513,Facebook,Sponsored,Product Promotion,Text,UK,-3.436,55.3781,588798,4145852,609461,185549,204540,0.142021072,5282874,0,0,74488.0,0.0141,True,Tracked,#FeatureHighlight,2024-01-31 11:40:00,2024-01-31 00:00:00,11,Medium,11:40:00 AM,1/31/2024,Post_1513|FACEBOOK|2024-01-31T11:40:00,0.142021072
Post_590,LinkedIn,Organic,Educational,Article,Japan,138.2529,36.2048,1032271,4238944,969932,285780,159250,24%,5180453,0,0,81333.0,0.02,True,Tracked,#DidYouKnow,12:22:00 PM,4/13/2025,12,High,12:22:00 PM,4/13/2025,Post_590|LINKEDIN|2025-04-13T12:22:00,0.24
Post_1393,TikTok,Organic,Product Promotion,Video,India,78.9629,20.5937,434276,4430104,981669,295824,206228,0.098028529,4973577,4430104,0,88032.0,0.0177,True,Tracked,#ProductDemo,2024-08-01 15:48:00,2024-08-01 00:00:00,15,Low,3:48:00 PM,8/1/2024,Post_1393|TIKTOK|2024-08-01T15:48:00,0.098028529
Post_1171,LinkedIn,Organic,Product Promotion,Article,USA,-95.7129,37.0902,494322,3707814,569207,141688,148864,13%,4694242,0,0,77454.0,0.02,True,Tracked,#SaaSLaunch,6:21:00 PM,7/17/2024,18,Medium,6:21:00 PM,7/17/2024,Post_1171|LINKEDIN|2024-07-17T18:21:00,0.13
Post_1415,Facebook,Sponsored,Entertainment,Image,Japan,138.2529,36.2048,341244,3740752,644769,129740,189744,0.091223427,4673863,0,0,134139.0,0.0287,True,Tracked,#MemeMonday,2024-10-27 09:54:00,2024-10-27 00:00:00,9,Low,9:54:00 AM,10/27/2024,Post_1415|FACEBOOK|2024-10-27T09:54:00,0.091223427
Post_3206,Facebook,Organic,Entertainment,Image,Australia,133.7751,-25.2744,314531,3829267,427005,231586,181007,0.082138787,4599364,0,0,121883.0,0.0265,True,Tracked,#MemeMonday,2025-02-27 17:47:00,2025-02-27 00:00:00,17,Low,5:47:00 PM,2/27/2025,Post_3206|FACEBOOK|2025-02-27T17:47:00,0.082138787
Post_1644,TikTok,Organic,Product Promotion,Video,India,78.9629,20.5937,331542,3564057,401208,192974,144569,0.09302392,4511512,3564057,0,105569.0,0.0234,True,Tracked,#ProductDemo,2024-09-24 16:23:00,2024-09-24 00:00:00,16,Low,4:23:00 PM,9/24/2024,Post_1644|TIKTOK|2024-09-24T16:23:00,0.09302392
Post_4744,Facebook,Sponsored,Entertainment,Image,UK,-3.436,55.3781,268969,3754117,430330,231645,89475,0.071646566,4409697,0,0,86871.0,0.0197,True,Tracked,#MemeMonday,2024-08-05 16:46:00,2024-08-05 00:00:00,16,Low,4:46:00 PM,8/5/2024,Post_4744|FACEBOOK|2024-08-05T16:46:00,0.071646566
Post_4015,TikTok,Organic,Product Promotion,Video,Canada,-106.3468,56.1304,364854,3603775,719669,209265,195578,0.101242345,4403598,3603775,0,68696.0,0.0156,True,Tracked,#ProductDemo,2024-02-05 12:43:00,2024-02-05 00:00:00,12,Medium,12:43:00 PM,2/5/2024,Post_4015|TIKTOK|2024-02-05T12:43:00,0.101242345
Post_153,TikTok,Organic,Entertainment,Video,Brazil,-51.9253,-14.235,323353,3386717,345323,213962,91852,0.095477114,4376363,3386717,0,96717.0,0.0221,True,Tracked,#TrendingNow,2024-09-14 17:25:00,2024-09-14 00:00:00,17,Low,5:25:00 PM,9/14/2024,Post_153|TIKTOK|2024-09-14T17:25:00,0.095477114
Post_3035,TikTok,Organic,Entertainment,Video,USA,-95.7129,37.0902,346299,3798836,947727,170723,125303,0.09115934,4317585,3798836,0,74262.0,0.0172,True,Tracked,#TrendingNow,2024-01-14 16:29:00,2024-01-14 00:00:00,16,Low,4:29:00 PM,1/14/2024,Post_3035|TIKTOK|2024-01-14T16:29:00,0.09115934
Post_2252,TikTok,Organic,Educational,Video,USA,-95.7129,37.0902,847415,3846271,442184,264783,134068,0.22032137,4261199,57636,0,60082.0,0.0141,True,Tracked,#CustomerStory,2024-12-23 09:42:00,2024-12-23 00:00:00,9,High,9:42:00 AM,12/23/2024,Post_2252|TIKTOK|2024-12-23T09:42:00,0.22032137
Post_4129,Facebook,Organic,Entertainment,Video,Australia,133.7751,-25.2744,178494,3390375,640104,232039,80062,0.052647452,4256191,3390375,0,80867.0,0.019,True,Tracked,#TrendingNow,2024-03-05 17:36:00,2024-03-05 00:00:00,17,Low,5:36:00 PM,3/5/2024,Post_4129|FACEBOOK|2024-03-05T17:36:00,0.052647452
Post_4955,TikTok,Organic,Educational,Video,USA,-95.7129,37.0902,779943,3523215,863562,260192,110028,0.221372636,4232938,3523215,0,52488.0,0.0124,True,Tracked,#CustomerStory,2024-06-16 11:25:00,2024-06-16 00:00:00,11,High,11:25:00 AM,6/16/2024,Post_4955|TIKTOK|2024-06-16T11:25:00,0.221372636
Post_4895,Facebook,Sponsored,Entertainment,Video,UK,-3.436,55.3781,208665,3255268,569203,224551,123815,0.064100723,4220989,3255268,0,85686.0,0.0203,True,Tracked,#TrendingNow,2025-03-21 15:33:00,2025-03-21 00:00:00,15,Low,3:33:00 PM,3/21/2025,Post_4895|FACEBOOK|2025-03-21T15:33:00,0.064100723
Post_563,TikTok,Organic,Entertainment,Video,Australia,133.7751,-25.2744,196103,3255089,642150,141173,67069,0.060245306,4208840,3255089,0,100170.0,0.0238,True,Tracked,#TrendingNow,2025-03-06 16:00:00,2025-03-06 00:00:00,16,Low,4:00:00 PM,3/6/2025,Post_563|TIKTOK|2025-03-06T16:00:00,0.060245306
Post_4229,TikTok,Organic,Product Promotion,Video,UK,-3.436,55.3781,479049,3583709,740389,222882,182054,0.133674238,4199728,3583709,0,82314.0,0.0196,True,Tracked,#ProductDemo,2024-12-03 08:41:00,2024-12-03 00:00:00,8,Medium,8:41:00 AM,12/3/2024,Post_4229|TIKTOK|2024-12-03T08:41:00,0.133674238
Post_4768,LinkedIn,Organic,Entertainment,Article,Australia,133.7751,-25.2744,259391,3644101,600407,213657,99410,7%,4195496,0,0,90203.0,0.02,True,Tracked,#DidYouKnow,12:20:00 PM,1/1/2025,12,Low,12:20:00 PM,1/1/2025,Post_4768|LINKEDIN|2025-01-01T12:20:00,0.07
Post_2722,TikTok,Sponsored,Product Promotion,Video,USA,-95.7129,37.0902,419809,3321854,511122,137919,143425,0.126378006,4184320,3321854,0,54396.0,0.013,True,Tracked,#ProductDemo,2024-06-16 10:47:00,2024-06-16 00:00:00,10,Medium,10:47:00 AM,6/16/2024,Post_2722|TIKTOK|2024-06-16T10:47:00,0.126378006
Post_827,TikTok,Organic,Educational,Video,Germany,10.4515,51.1657,641052,3571882,469759,239721,75037,0.179471919,4182553,3571882,0,88251.0,0.0211,True,Tracked,#CustomerStory,2024-01-31 15:13:00,2024-01-31 00:00:00,15,Medium,3:13:00 PM,1/31/2024,Post_827|TIKTOK|2024-01-31T15:13:00,0.179471919
Post_4969,TikTok,Organic,Educational,Video,India,78.9629,20.5937,532761,3225188,470307,139817,169482,0.165187664,4180087,3225188,0,92379.0,0.0221,True,Tracked,#CustomerStory,2024-11-04 16:15:00,2024-11-04 00:00:00,16,Medium,4:15:00 PM,11/4/2024,Post_4969|TIKTOK|2024-11-04T16:15:00,0.165187664
Post_326,TikTok,Organic,Product Promotion,Video,USA,-95.7129,37.0902,445965,3545418,527208,237074,138415,0.125786551,4166496,3545418,0,92912.0,0.0223,True,Tracked,#ProductDemo,2024-03-12 08:05:00,2024-03-12 00:00:00,8,Medium,8:05:00 AM,3/12/2024,Post_326|TIKTOK|2024-03-12T08:05:00,0.125786551
Post_4043,TikTok,Organic,Educational,Video,Brazil,-51.9253,-14.235,732012,3291473,684053,150266,70285,0.222396481,4154229,3291473,0,97208.0,0.0234,True,Tracked,#CustomerStory,2025-01-03 17:33:00,2025-01-03 00:00:00,17,High,5:33:00 PM,1/3/2025,Post_4043|TIKTOK|2025-01-03T17:33:00,0.222396481
